StateIndex,SetPlugZ1=OFF,SetPlugZ1=ON,SetPlugZ2=OFF,SetPlugZ2=ON,SetSpotlight=OFF,SetSpotlight=ON,SetZ1Blinds=OFF,SetZ1Blinds=ON,SetZ1Light=OFF,SetZ1Light=ON,SetZ2Blinds=OFF,SetZ2Blinds=ON,SetZ2Light=OFF,SetZ2Light=ON,DO_NOTHING
5473,0.00,90.00,-0.36,0.00,7.55,-0.55,-2.09,0.00,0.00,0.94,-5.16,7.02,6.96,-0.55,0.00
5477,-0.05,25.16,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-2.09,0.00,0.00,0.00,0.00
5488,0.00,47.09,-0.55,0.00,0.00,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,-0.30
5489,-0.05,0.00,0.00,-0.55,-0.55,-0.55,0.00,0.00,-0.05,-0.05,-0.55,0.00,-1.04,-0.55,-0.30
5492,0.00,0.00,0.00,0.00,0.00,-0.55,0.86,0.00,0.00,-0.05,0.00,-0.55,0.00,0.00,-0.30
5493,-0.05,10.05,0.00,-0.55,-0.49,-0.55,0.00,-0.05,-0.05,-0.05,0.00,-0.55,-0.55,0.00,-0.30
5520,0.00,0.00,0.00,19.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5521,0.00,0.00,0.00,0.00,-0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5522,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00
5523,-0.05,0.00,0.00,0.00,-2.40,-0.55,-0.05,0.00,-0.05,0.00,0.00,0.00,-0.55,0.00,-0.30
5538,0.00,0.00,0.00,34.56,0.00,0.00,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,-0.30
5552,2.41,0.00,0.00,83.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00,0.00
5553,0.00,0.00,0.00,27.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5570,0.00,19.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,-0.55,-0.55,0.00
5584,0.00,19.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00
5601,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.48,0.00,0.00,0.00,0.00,0.00,0.00
5617,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.55,0.00,0.00
5764,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.67,0.00,0.00,0.00
5765,0.00,0.00,-10.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.56,0.00,0.00
5766,0.20,0.00,0.00,6.35,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,-9.22,0.00,0.00
5772,0.53,0.00,-8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.01,0.00,0.00
5773,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00
5774,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00
5775,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.69,0.00,0.00,0.27
